date,vehicle_total
2003-01-01,204122
2003-01-02,407641
2003-01-03,435808
2003-01-04,319723
2003-01-05,279328
2003-01-06,482647
2003-01-07,506072
2003-01-08,529880
2003-01-09,537034
2003-01-10,559643
2003-01-11,345052
2003-01-12,281069
2003-01-13,478249
2003-01-14,549182
2003-01-15,563871
2003-01-16,573220
2003-01-17,616737
2003-01-18,399660
2003-01-19,341965
2003-01-20,567118
2003-01-21,577860
2003-01-22,582347
2003-01-23,581025
2003-01-24,611601
2003-01-25,418523
2003-01-26,348141
2003-01-27,554998
2003-01-28,564959
2003-01-29,569410
2003-01-30,557781
2003-01-31,512731
2003-02-01,356655
2003-02-02,305433
2003-02-03,558929
2003-02-04,546041
2003-02-05,556105
2003-02-06,571206
2003-02-07,590117
2003-02-08,377492
2003-02-09,335950
2003-02-10,559805
2003-02-11,568428
2003-02-12,576440
2003-02-13,580637
2003-02-14,598924
2003-02-15,391210
2003-02-16,349227
2003-02-17,552918
2003-02-18,560939
2003-02-19,567671
2003-02-20,574324
2003-02-21,606179
2003-02-22,405482
2003-02-23,363487
2003-02-24,554863
2003-02-25,569186
2003-02-26,583693
2003-02-27,537219
2003-02-28,567690
2003-03-01,380604
2003-03-02,294091
2003-03-03,346524
2003-03-04,531122
2003-03-05,562474
2003-03-06,576761
2003-03-07,598313
2003-03-08,396861
2003-03-09,356820
2003-03-10,578115
2003-03-11,571922
2003-03-12,587464
2003-03-13,593755
2003-03-14,618378
2003-03-15,429988
2003-03-16,397242
2003-03-17,568021
2003-03-18,575134
2003-03-19,588610
2003-03-20,585858
2003-03-21,608546
2003-03-22,417389
2003-03-23,379271
2003-03-24,570504
2003-03-25,579974
2003-03-26,588497
2003-03-27,601103
2003-03-28,627670
2003-03-29,424741
2003-03-30,381951
2003-03-31,585567
2003-04-01,589266
2003-04-02,586797
2003-04-03,600670
2003-04-04,624618
2003-04-05,418994
2003-04-06,370747
2003-04-07,587304
2003-04-08,603850
2003-04-09,613131
2003-04-10,610744
2003-04-11,639769
2003-04-12,432845
2003-04-13,387748
2003-04-14,577668
2003-04-15,579581
2003-04-16,589316
2003-04-17,592413
2003-04-18,337806
2003-04-19,326846
2003-04-20,330371
2003-04-21,356048
2003-04-22,558676
2003-04-23,574273
2003-04-24,578880
